y,x1,x2,x3,x4,x5,x6
5.6,74,0.6808,1083,1194,7.1,1118
5.6,71.9,0.6604,916,1082,4.4,1019
6.4,70.7,0.6848,825,1046,2.9,961
6.3,70.1,0.6733,704,1015,2.1,931
4.4,80.5,0.6825,668,1032,2.1,938
3.9,83.1,0.6787,512,963,1.1,888
2.5,86.6,0.6407,385,908,0.6,844
3.4,85.4,0.6736,377,918,0.5,851
3.3,84.5,0.6608,467,956,1,905
3.4,84.5,0.664,691,1035,2.6,987
3.4,84.5,0.6677,981,1180,6.7,1124
4.1,82.7,0.682,1369,1523,16.7,1408
4.6,80.3,0.6889,1589,1789,24,1501
6.1,74,0.7025,1370,1435,15,1266
9.1,58.4,0.6787,1005,1140,6.9,1082
11.4,48.9,0.658,1105,1225,9.1,1123
8.3,64.4,0.7072,1142,1282,10,1174
6.5,71,0.6903,1105,1355,12.9,1209
6.6,71.1,0.6973,917,1245,9,1120
7.4,69.3,0.7165,1050,1305,10.9,1174
6.4,70.6,0.6834,848,1177,7.9,1068
5.8,72.5,0.6718,952,1236,10.2,1146
5.6,71.6,0.6556,1059,1335,13.2,1204
4.2,77.8,0.6491,720,1141,8.1,1062
4.3,79.5,0.6648,981,1201,8.5,1122
4.5,75.5,0.6429,648,1005,3.6,940
4.4,77.1,0.6523,611,986,2.6,935
4.2,78.2,0.6506,773,1050,4.3,1011
4,79.3,0.6517,703,1007,3.2,952
3.9,78.7,0.643,560,951,1.8,899
3.5,80.6,0.6403,499,948,1.4,880
3.2,82.8,0.6426,575,959,1.2,882
4.1,76,0.6304,478,894,0.7,844
4.2,75.9,0.6311,442,912,1,860
4.5,76.3,0.648,602,994,2.2,917
4.4,79.1,0.6687,936,1208,7.7,1126
4.3,79.8,0.6706,870,1114,6.2,1033
3.1,83,0.6419,688,1022,3.8,944
2.8,83.9,0.6326,706,1004,3.6,955
3.9,79.5,0.6482,756,1020,3.7,992
5.1,74.5,0.6621,974,1192,8.3,1090
5.7,72.5,0.6686,1121,1244,10.1,1151
5.6,74.6,0.6826,1064,1243,9.9,1148
5.4,75.9,0.6875,1076,1231,9.2,1140
4.9,78.2,0.6826,1090,1254,10.3,1160
4.8,79,0.6845,1119,1289,11.4,1167
4.8,78.6,0.6826,1181,1317,11.7,1194
4.6,78.2,0.6686,1240,1331,12.6,1224
4.2,79.7,0.6647,1254,1264,11.4,1209
4.3,78.9,0.6621,1192,1212,9.6,1145
4.2,77.9,0.6479,1020,1053,4.6,1016
3.2,83,0.645,916,1051,4.7,1018
5.1,74.5,0.6626,798,983,2.6,937
4,80.8,0.6666,762,1023,2.9,949
4.3,81,0.677,685,964,1.5,895
2.9,85.3,0.6503,619,960,1.3,884
3.3,84.5,0.6612,606,962,1.2,883
3.6,84.4,0.6724,788,1051,3,968
3.8,83.8,0.6771,947,1146,5.5,1071
4.1,82.5,0.6819,1254,1400,12.9,1310
3.9,83.9,0.6847,1352,1439,14.5,1332
4.1,83.9,0.6967,1165,1228,9,1178
4.6,82,0.6997,1025,1142,6.5,1093
5.5,79.5,0.7238,941,1117,5.4,1060
6.7,76.2,0.7519,1000,1206,7.4,1121
7.9,69,0.7394,962,1223,7.7,1118
8.5,66.3,0.7387,1214,1299,10.7,1205
7.6,70.8,0.7399,1428,1364,13.3,1274
7.2,72.4,0.7372,1484,1388,13.2,1301
6.7,74.2,0.7326,1658,1503,17.5,1405
6.1,75.8,0.7184,1632,1522,17.7,1375
6.3,74.9,0.7187,1628,1492,17.5,1367
6,78,0.7345,1481,1399,14.1,1324
5.6,81.2,0.7443,1205,1218,8.4,1170
5.5,81.5,0.7393,1106,1201,7.9,1169
5.3,84.1,0.753,1106,1215,8.1,1181
5.2,83.9,0.7487,1092,1181,7.1,1146
5.1,83.5,0.7416,984,1127,5.2,1059
5,82.9,0.73,889,1046,3.4,1010
5,82.5,0.7265,848,1053,3.4,1007
5,82.8,0.7273,771,1025,2.1,932
5.2,80.7,0.7219,895,1095,4.1,998
5.3,80.2,0.7179,1003,1161,6.1,1072
5.7,79.7,0.734,1442,1568,18.7,1424
6.2,76.8,0.7355,1727,1868,27.9,1527
8.3,67.4,0.7384,1606,1533,17.8,1364
10.8,52.1,0.6746,1354,1324,11.8,1190
13,40.3,0.6028,914,1084,6.6,1021
10.9,44.8,0.5849,913,1122,8.4,1051
11.5,42.1,0.5706,847,1097,7.6,1021
12.5,38.5,0.5568,778,1067,6.7,1016
12.6,38.5,0.5586,835,1104,7.9,1040
12.3,38.4,0.5488,903,1124,8.4,1089
10.2,43.1,0.5366,1157,1233,12.1,1148
8.6,48.2,0.5385,1237,1229,12.6,1162
7.8,50.8,0.5384,1253,1309,13.6,1197
7.3,52.8,0.5404,1130,1098,8.1,1059
6.2,62.4,0.5958,1373,1233,11.2,1207
5.1,68.2,0.6033,1338,1193,10.1,1188
4.7,69,0.5936,1268,1133,8.8,1153
4,69.8,0.5756,1125,1063,6.8,1061
3.4,71.3,0.5626,1054,1063,6.4,1028
2.8,74,0.5591,1090,1061,6.7,1082
2.3,75.1,0.5514,1029,1004,5.2,1037
3.8,66.2,0.5359,882,947,3.6,942
4.6,60.5,0.5173,717,897,2.7,904
5.7,54.3,0.5022,599,855,1.9,855
6.2,51.3,0.488,687,926,3.9,914
6.7,49.5,0.4892,706,927,4.1,933
8.8,45,0.5114,682,912,3.7,942
9.6,43.5,0.5202,629,909,3.6,943
9.8,43.3,0.5238,664,939,4.1,959
9.9,43.5,0.53,664,972,4.5,971
9.8,44.1,0.5332,630,953,4.5,954
9.7,45.1,0.5417,524,906,2.9,929
9,47.3,0.542,488,911,3.1,933
7.4,56,0.5797,609,961,3.9,967
6.4,61.7,0.5956,684,974,4.2,987
6.8,58,0.5758,788,1008,5.2,1003
7.3,56.7,0.5806,1030,1188,10.2,1138
7.2,56.7,0.579,1026,1106,8.1,1087
6.7,59.1,0.5848,1182,1139,8.5,1129
5.9,62.1,0.5808,1284,1224,10.7,1191
6.3,60.4,0.5811,1371,1230,11.5,1256
5.5,60.2,0.5458,1234,1121,9.5,1171
4.6,64.4,0.5525,1060,1004,5.3,1016
3.5,68.8,0.5458,1038,1022,5.8,1035
2.8,70.9,0.5383,970,979,4.6,980
3.7,65.9,0.5295,751,915,2.7,901
1.6,74.3,0.5168,742,949,3.1,914
1.4,76.3,0.5261,879,955,3.2,940
2.5,69.5,0.5172,871,949,3.6,935
3.7,64.8,0.5208,890,956,3.7,970
7.8,49.9,0.5307,1059,1053,6.4,1064
